id_produto,id_contrato,id_cliente,data_entrada,valor_fin,qtde_prest,juros_efet,data_entrada,data_final,provisao,fat,rating_operacao,rating_cliente,ra,porte,setor,situacao,rating_atual,linha_fin,tipo_a,tipo_b,tipo_c,tipo_d,garantia,valor_garantia
10901,32470002,257370,41544,280898.88,92,0.414266,41544,44454,0,12922,AA,AA,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,AA,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,Alienação Fiduciaria Veículos,251000
10901,34390006,257575,41717,239954.44,91,0.414582,41717,44545,0,8200,AA,A,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,AA,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,Alienação Fiduciaria Veículos,219000
10901,33210004,262439,41659,162373.5,92,0.413905,41659,44516,0,559623,AA,AA,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,AA,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,Alienação Fiduciaria Veículos,150000
10901,33100012,264385,42367,170973.28,71,0.327478,42367,44881,0,1214806,AA,A,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,AA,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,Alienação Fiduciaria Veículos,251000
10901,34400001,278327,41694,240054.21,92,0.414313,41694,44545,30727,1072026,A,A,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,A,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,Alienação Fiduciaria Veículos,219000
10901,34990003,283754,41694,274126.01,92,0.413478,41694,44578,73228,1202183,B,B,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,B,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,Alienação Fiduciaria Veículos,251000
10910,36800015,212750,42367,204419.77,77,0.480163,42367,45061,70786,1416668,A,B,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,A,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,Alienação Fiduciaria Veículos,258000
10910,36870005,212822,41814,277576.32,92,0.588775,41814,44697,8657,919248,B,B,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,B,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,Alienação Fiduciaria Veículos,252500
10910,36540013,231851,42367,201274.52,76,0.480165,42367,45033,145894,1162357,B,A,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,B,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,Alienação Fiduciaria Veículos,258000
10910,38660008,237132,41907,283185.04,92,0.588115,41907,44819,100936,96106,B,B,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,B,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,Alienação Fiduciaria Veículos,258000
10910,36240010,257338,42551,176135.52,68,0.47561,42551,45000,65574,1096365,A,B,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,A,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,Alienação Fiduciaria Veículos,251000
10910,36850004,265640,41810,279019.01,92,0.588575,41810,44697,4351,1056667,A,A,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,A,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,Alienação Fiduciaria Veículos,253000
10910,35040017,282618,42367,190006.43,74,0.480174,42367,44972,0,1207775,AA,A,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,AA,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,Alienação Fiduciaria Veículos,251000
10910,36070009,286206,41758,224712.94,92,0.588037,41758,44635,32539,9658,A,A,Região Metropolitana de São Paulo,PF,SETOR PRIVADO,ADIMPLENTE,A,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,Alienação Fiduciaria Veículos,203000
10910,40330001,294489,42060,283042.6,92,0.588979,42060,44942,56748,1140378,A,A,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,A,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,Alienação Fiduciaria Veículos,270000
10910,37250000,307270,41842,282899.98,92,0.589547,41842,44697,44115,816153,A,A,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,A,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,Alienação Fiduciaria Veículos,258000
10910,37460013,308013,42349,211564.73,80,0.480157,42349,45124,73445,949709,A,B,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,A,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,Alienação Fiduciaria Veículos,253000
10910,38160013,308480,42367,213723.96,80,0.480157,42367,45153,7769,1109071,A,B,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,A,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,Alienação Fiduciaria Veículos,258000
10910,37310011,309109,42551,161014.25,71,0.480544,42551,45092,61396,8545,A,B,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,A,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,Alienação Fiduciaria Veículos,217000
10910,37330012,309419,42349,210815.35,79,0.480159,42349,45092,72606,18781,A,B,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,A,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,Alienação Fiduciaria Veículos,276000
10910,39230015,310182,42367,122395.53,83,0.480216,42367,45246,44297,549774,A,B,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,A,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,Alienação Fiduciaria Veículos,163800
10910,37260014,310646,42367,204316.72,77,0.480163,42367,45061,70751,1014684,A,B,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,A,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,Alienação Fiduciaria Veículos,258000
10910,38150000,322385,41920,186809.77,92,0.588735,41920,44788,32252,11638,A,A,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,A,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,Alienação Fiduciaria Veículos,168900
10910,38170019,322938,42367,213854.14,80,0.480157,42367,45153,75799,1078872,A,B,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,A,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,Alienação Fiduciaria Veículos,258000
10910,38200015,329487,42367,213746.74,80,0.480157,42367,45153,75761,2576716,A,A,Região Metropolitana de São Paulo,PF,SETOR PRIVADO,ADIMPLENTE,A,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,Alienação Fiduciaria Veículos,258000
10910,38680017,334561,42551,194736.4,74,0.47524,42551,45184,154445,944338,B,B,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,B,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,Alienação Fiduciaria Veículos,252500
10910,38840006,335860,41925,278245.35,92,0.588138,41925,44819,99671,1650158,A,A,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,B,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,Alienação Fiduciaria Veículos,252500
10910,40360008,336882,42023,283042.6,92,0.588546,42023,44910,55172,173354,A,A,OUTRAS,PF,SETOR PRIVADO,ADIMPLENTE,A,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,Alienação Fiduciaria Veículos,270000
10910,38770016,340340,42551,173664.43,74,0.475253,42551,45184,67278,1442506,A,A,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,A,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,Alienação Fiduciaria Veículos,225000
10910,39470016,347981,42367,220163.28,83,0.480153,42367,45246,25386,1035889,A,A,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,A,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,Alienação Fiduciaria Veículos,253000
10910,40020010,352764,42367,223894.65,84,0.480151,42367,45275,81558,8025,A,A,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,A,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,Alienação Fiduciaria Veículos,253500
10910,39650014,352780,42349,194746.75,84,0.480161,42349,45246,69594,669033,A,A,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,A,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,Alienação Fiduciaria Veículos,219900
10910,40200019,352993,42367,226433.93,84,0.48015,42367,45275,82483,7761,A,B,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,A,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,Alienação Fiduciaria Veículos,260000
10910,40000010,353027,42349,229578.96,85,0.480148,42349,45275,82595,80383,A,A,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,A,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,Alienação Fiduciaria Veículos,270000
10910,40030008,353299,42018,201367.45,92,0.588308,42018,44910,39251,555501,A,A,Região Metropolitana de São Paulo,PF,SETOR PRIVADO,ADIMPLENTE,A,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,Alienação Fiduciaria Veículos,182000
10910,40050009,353841,42018,154063.51,92,0.588374,42018,44910,30031,756736,A,A,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,A,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,Alienação Fiduciaria Veículos,140000
10910,39880001,353868,42023,227398.5,92,0.588599,42023,44910,88651,121222,B,B,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,B,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,Alienação Fiduciaria Veículos,205000
10910,39860019,354350,42367,226433.86,84,0.48015,42367,45275,82483,1313362,A,B,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,A,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,Alienação Fiduciaria Veículos,260000
10910,40010007,355682,42019,283042.58,92,0.588279,42019,44910,55172,778808,A,A,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,A,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,Alienação Fiduciaria Veículos,289000
10910,40040003,356972,42018,227686.1,92,0.588279,42018,44910,88763,923108,B,B,RA de Santos,PF,SETOR PRIVADO,ADIMPLENTE,B,PRO CAMINHONEIRO,ME,RT,PRIV,BNDES,Alienação Fiduciaria Veículos,207000
10928,37720007,292141,41962,120098.93,56,0.493109,41962,44089,20054,246183621,AA,C,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,B,BNDES PANIFICADORAS,ME,RT,PRIV,BNDES,Alien Fiduc - RDME,23339
10928,36560006,292311,41877,102128.13,56,0.444016,41877,44027,6395,218968691,B,D,RA de Campinas,PEQUENA,SETOR PRIVADO,ADIMPLENTE,A,BNDES PANIFICADORAS,ME,RT,PRIV,BNDES,Alien Fiduc - RDME,20000
10928,36370002,292591,41922,127943.76,56,0.49403,41922,44060,18694,240197005,AA,AA,RA de Campinas,PEQUENA,SETOR PRIVADO,ADIMPLENTE,B,BNDES PANIFICADORAS,ME,RT,PRIV,BNDES,Alien Fiduc - RDME,80200
10928,37160001,293652,41845,28568.14,56,0.49325,41845,43997,0,40698109,AA,B,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,AA,BNDES PANIFICADORAS,ME,RT,PRIV,BNDES,Alienação Fiduciária - Bens Móveis,20600
10928,37060007,293903,41849,52035.49,56,0.494293,41849,43966,0,58359171,AA,B,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,AA,BNDES PANIFICADORAS,ME,RT,PRIV,BNDES,Alienação Fiduciária - Bens Móveis,45029
10928,39350002,295035,41996,95000.84,56,0.516312,41996,44151,26082,1500000,A,C,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,D,BNDES PANIFICADORAS,ME,RT,PRIV,BNDES,Alien Fiduc - RDME,72710
10928,37170007,296325,41864,70096.73,55,0.565722,41864,43966,17557,7460584,AA,B,Região Metropolitana de São Paulo,MICRO,SETOR PRIVADO,ADIMPLENTE,C,BNDES PANIFICADORAS,ME,RT,PRIV,BNDES,Alienação Fiduciária - Bens Móveis,35500
10928,37350005,296821,41904,48020.59,55,0.494909,41904,43997,0,38705593,AA,AA,RA de Campinas,PEQUENA,SETOR PRIVADO,ADIMPLENTE,AA,BNDES PANIFICADORAS,ME,RT,PRIV,BNDES,Alien Fiduc - RDME,21500
10928,37450000,297526,41873,54593.59,64,0.51306,41873,43997,0,2150000,AA,A,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,AA,BNDES PANIFICADORAS,ME,RT,PRIV,BNDES,Alienação Fiduciária - Bens Móveis,16074
10928,37230000,299146,41864,78255.95,56,0.494391,41864,43997,4084,14949722,AA,AA,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,A,BNDES PANIFICADORAS,ME,RT,PRIV,BNDES,Alienação Fiduciária - Bens Móveis,30000
10928,36780006,300187,41899,65866.51,68,0.533915,41899,43966,0,31404618,AA,A,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,AA,BNDES PANIFICADORAS,ME,RT,PRIV,BNDES,Alienação Fiduciária - Bens Móveis,25600
10928,37240005,300241,41900,63194.21,55,0.495585,41900,43966,0,12585648,AA,A,RA de Araçatuba,PEQUENA,SETOR PRIVADO,ADIMPLENTE,AA,BNDES PANIFICADORAS,ME,RT,PRIV,BNDES,Alienação Fiduciária - Bens Móveis,24500
10928,36390003,300888,41808,37575.38,56,0.493534,41808,43936,0,105651176,AA,AA,RA de Santos,PEQUENA,SETOR PRIVADO,ADIMPLENTE,AA,BNDES PANIFICADORAS,ME,RT,PRIV,BNDES,Alienação Fiduciária - Bens Móveis,19600
10928,39480003,301876,42082,71579.96,48,0.495398,42082,44151,747,106535461,AA,A,RA de São José dos Campos,PEQUENA,SETOR PRIVADO,ADIMPLENTE,A,BNDES PANIFICADORAS,ME,RT,PRIV,BNDES,Alien Fiduc - RDME,14704
10928,37340000,302295,41899,61516.57,69,0.534397,41899,43997,2233,119115218,A,C,Região Metropolitana de São Paulo,PEQUENA,SETOR PRIVADO,ADIMPLENTE,A,BNDES PANIFICADORAS,ME,RT,PRIV,BNDES,Alien Fiduc - RDME,25600
